plate_number,plate_image,evidence_image,timestamp
UK07BSL5L2,plates/UK07BSL5L2.png,evidence/UK07BSL5L2.png,2026-08-06_17-21-36
UKO7BSL5LZ,plates/UKO7BSL5LZ.png,evidence/UKO7BSL5LZ.png,2026-08-06_17-21-38
UK07BSL5Lz,plates/UK07BSL5Lz.png,evidence/UK07BSL5Lz.png,2026-08-06_17-21-38
UK0785L5L2,plates/UK0785L5L2.png,evidence/UK0785L5L2.png,2026-08-06_17-21-39
UK07BSL542,plates/UK07BSL542.png,evidence/UK07BSL542.png,2026-08-06_17-21-39
UK07BSLSLZ,plates/UK07BSLSLZ.png,evidence/UK07BSLSLZ.png,2026-08-06_17-21-39
UKO7BSL5L2,plates/UKO7BSL5L2.png,evidence/UKO7BSL5L2.png,2026-08-06_17-21-39
UK07BSL5LZ,plates/UK07BSL5LZ.png,evidence/UK07BSL5LZ.png,2026-08-06_17-21-40
UKOTBSL5L,plates/UKOTBSL5L.png,evidence/UKOTBSL5L.png,2026-08-06_17-21-40
UKO7BSL5L,plates/UKO7BSL5L.png,evidence/UKO7BSL5L.png,2026-08-06_17-21-40
UKOZBSLSL2,plates/UKOZBSLSL2.png,evidence/UKOZBSLSL2.png,2026-08-06_17-21-40
UK07BSLSL2,plates/UK07BSLSL2.png,evidence/UK07BSLSL2.png,2026-08-06_17-21-41
UKO7BSLSL2,plates/UKO7BSLSL2.png,evidence/UKO7BSLSL2.png,2026-08-06_17-21-41
UK07B5L542,plates/UK07B5L542.png,evidence/UK07B5L542.png,2026-08-06_17-21-41
UK0785L542,plates/UK0785L542.png,evidence/UK0785L542.png,2026-08-06_17-21-41
UKOTBSL5L2,plates/UKOTBSL5L2.png,evidence/UKOTBSL5L2.png,2026-08-06_17-21-42
UK07B5L5LZ,plates/UK07B5L5LZ.png,evidence/UK07B5L5LZ.png,2026-08-06_17-21-42
UK07B5L5L2,plates/UK07B5L5L2.png,evidence/UK07B5L5L2.png,2026-08-06_17-21-43
UKO7BSL542,plates/UKO7BSL542.png,evidence/UKO7BSL542.png,2026-08-06_17-21-43
UKO7B5L542,plates/UKO7B5L542.png,evidence/UKO7B5L542.png,2026-08-06_17-21-44
UNKNOWN_1,plates/UNKNOWN_1.png,evidence/UNKNOWN_1.png,2026-08-06_17-21-44
UK07854542,plates/UK07854542.png,evidence/UK07854542.png,2026-08-06_17-21-45
UNKNOWN_2,plates/UNKNOWN_2.png,evidence/UNKNOWN_2.png,2026-08-06_17-21-45
UNKNOWN_3,plates/UNKNOWN_3.png,evidence/UNKNOWN_3.png,2026-08-06_17-21-45
UNKNOWN_4,plates/UNKNOWN_4.png,evidence/UNKNOWN_4.png,2026-08-06_17-21-45
UNKNOWN_5,plates/UNKNOWN_5.png,evidence/UNKNOWN_5.png,2026-08-06_17-21-46
UNKNOWN_6,plates/UNKNOWN_6.png,evidence/UNKNOWN_6.png,2026-08-06_17-21-46
UK07BSL3L2,plates/UK07BSL3L2.png,evidence/UK07BSL3L2.png,2026-08-06_17-21-46
UK07BS2542,plates/UK07BS2542.png,evidence/UK07BS2542.png,2026-08-06_17-21-46
UNKNOWN_7,plates/UNKNOWN_7.png,evidence/UNKNOWN_7.png,2026-08-06_17-21-46
UNKNOWN_8,plates/UNKNOWN_8.png,evidence/UNKNOWN_8.png,2026-08-06_17-21-46
IK078S2542,plates/IK078S2542.png,evidence/IK078S2542.png,2026-08-06_17-21-46
078545L2,plates/078545L2.png,evidence/078545L2.png,2026-08-06_17-21-46
UNKNOWN_9,plates/UNKNOWN_9.png,evidence/UNKNOWN_9.png,2026-08-06_17-21-46
8S25L2,plates/8S25L2.png,evidence/8S25L2.png,2026-08-06_17-21-47
L5L2,plates/L5L2.png,evidence/L5L2.png,2026-08-06_17-21-47
UNKNOWN_10,plates/UNKNOWN_10.png,evidence/UNKNOWN_10.png,2026-08-06_17-21-47
UNKNOWN_11,plates/UNKNOWN_11.png,evidence/UNKNOWN_11.png,2026-08-06_17-21-47
UNKNOWN_12,plates/UNKNOWN_12.png,evidence/UNKNOWN_12.png,2026-08-06_17-21-47
UNKNOWN_13,plates/UNKNOWN_13.png,evidence/UNKNOWN_13.png,2026-08-06_17-21-47
UNKNOWN_14,plates/UNKNOWN_14.png,evidence/UNKNOWN_14.png,2026-08-06_17-21-48
UNKNOWN_15,plates/UNKNOWN_15.png,evidence/UNKNOWN_15.png,2026-08-06_17-21-48
UNKNOWN_16,plates/UNKNOWN_16.png,evidence/UNKNOWN_16.png,2026-08-06_17-21-48
UNKNOWN_17,plates/UNKNOWN_17.png,evidence/UNKNOWN_17.png,2026-08-06_17-21-48
UNKNOWN_18,plates/UNKNOWN_18.png,evidence/UNKNOWN_18.png,2026-08-06_17-21-48
UNKNOWN_19,plates/UNKNOWN_19.png,evidence/UNKNOWN_19.png,2026-08-06_17-21-48
UNKNOWN_20,plates/UNKNOWN_20.png,evidence/UNKNOWN_20.png,2026-08-06_17-21-49
UNKNOWN_21,plates/UNKNOWN_21.png,evidence/UNKNOWN_21.png,2026-08-06_17-21-49
UNKNOWN_22,plates/UNKNOWN_22.png,evidence/UNKNOWN_22.png,2026-08-06_17-21-49
UNKNOWN_23,plates/UNKNOWN_23.png,evidence/UNKNOWN_23.png,2026-08-06_17-21-49
DLulMIlu,plates/DLulMIlu.png,evidence/DLulMIlu.png,2026-08-06_17-21-51
DLuLMillui,plates/DLuLMillui.png,evidence/DLuLMillui.png,2026-08-06_17-21-51
DLUCWLluI,plates/DLUCWLluI.png,evidence/DLUCWLluI.png,2026-08-06_17-21-52
DLOLMILquL,plates/DLOLMILquL.png,evidence/DLOLMILquL.png,2026-08-06_17-21-53
DLilVLquI,plates/DLilVLquI.png,evidence/DLilVLquI.png,2026-08-06_17-21-54
DLECMiugoi,plates/DLECMiugoi.png,evidence/DLECMiugoi.png,2026-08-06_17-21-54
DLOCWlecul,plates/DLOCWlecul.png,evidence/DLOCWlecul.png,2026-08-06_17-21-54
DLGCGgui,plates/DLGCGgui.png,evidence/DLGCGgui.png,2026-08-06_17-21-54
DLOGKIGguL,plates/DLOGKIGguL.png,evidence/DLOGKIGguL.png,2026-08-06_17-21-54
DLOCWIGguL,plates/DLOCWIGguL.png,evidence/DLOCWIGguL.png,2026-08-06_17-21-55
DLECMULOI,plates/DLECMULOI.png,evidence/DLECMULOI.png,2026-08-06_17-21-55
DLOLMELcul,plates/DLOLMELcul.png,evidence/DLOLMELcul.png,2026-08-06_17-21-55
DLOCKIG001,plates/DLOCKIG001.png,evidence/DLOCKIG001.png,2026-08-06_17-21-55
DLOCKG6uL,plates/DLOCKG6uL.png,evidence/DLOCKG6uL.png,2026-08-06_17-21-55
DLOCWGo0L,plates/DLOCWGo0L.png,evidence/DLOCWGo0L.png,2026-08-06_17-21-56
DLECMLG601,plates/DLECMLG601.png,evidence/DLECMLG601.png,2026-08-06_17-21-56
DLOCGo0l,plates/DLOCGo0l.png,evidence/DLOCGo0l.png,2026-08-06_17-21-56
DLOCGo0ls,plates/DLOCGo0ls.png,evidence/DLOCGo0ls.png,2026-08-06_17-21-57
DLECG001,plates/DLECG001.png,evidence/DLECG001.png,2026-08-06_17-21-57
DLBGMIG01,plates/DLBGMIG01.png,evidence/DLBGMIG01.png,2026-08-06_17-21-57
DLECM660,plates/DLECM660.png,evidence/DLECM660.png,2026-08-06_17-21-58
W6go1,plates/W6go1.png,evidence/W6go1.png,2026-08-06_17-22-02
BEW6601,plates/BEW6601.png,evidence/BEW6601.png,2026-08-06_17-22-02
DLBCW6601,plates/DLBCW6601.png,evidence/DLBCW6601.png,2026-08-06_17-22-03
DLICW6601,plates/DLICW6601.png,evidence/DLICW6601.png,2026-08-06_17-22-03
DL9CW6601,plates/DL9CW6601.png,evidence/DL9CW6601.png,2026-08-06_17-22-03
